"romaji","hiragana","definition","priority","type","japanese"
"Yōroppa","ヨーロッパ","Europe (continent)","492","Proper noun","ヨーロッパ"
"gun","ぐん","a group of people, animals, etc.","493","Noun","群"
"sukunai","すくない","there are not many, there are few, there is little","494","Adjective","少ない"
"shitei","してい","naming; designation; specification","495","Noun","指定"
"Edo","えど","Edo, the former name of Tokyo","496","Proper noun","江戸"
"tokoro","ところ","a place, a scene, a site; an address","497","Unknown","ところ"
"rikugun","りくぐん","(military) army","498","Noun","陸軍"
"nokosu","のこす","leave over, leave behind, let remain","499","Verb","残す"
"kyōkai","きょうかい","a church, usually a Christian church","500","Noun","教会"
"kikan","きかん","duration, period","501","Unknown","期間"
"kyōwa","きょうわ","collaboration; cooperation; working together in harmony","502","Noun","共和"
"mae","まえ","the front","503","Noun","前"
"kokka","こっか","nation; state","504","Noun","国家"
"renzoku","れんぞく","The act of following in sequence; succession.","505","Unknown","連続"
"mon","もん","gate","506","Noun","門"
"dōnyū","どうにゅう","introduction (e.g. of a new idea)","507","Noun","導入"
"kinen","きねん","memorial","508","Unknown","記念"
"dantai","だんたい","an organization; a group","509","Unknown","団体"
"kessei","けっせい","organization, formation","510","Unknown","結成"
"tokuchō","とくちょう","characteristic","511","Noun","特徴"
"mata wa","または","or alternatively","512","Unknown","または"
"hyōki","ひょうき","the state of being written on the outside of something","513","Unknown","表記"
"Taira","たいら","A surname​.","514","Proper noun","平"
"Error","","","515","",""
"uchū","うちゅう","outer space","516","Unknown","宇宙"
"sōgō","そうごう","synthesis, consolidation, integration","517","Noun","総合"
"shikyo","しきょ","death","518","Noun","死去"
"shōsetsu","しょうせつ","novel, story, fiction","519","Noun","小説"
"daitōryō","だいとうりょう","a president (the head of state of a republic)","520","Noun","大統領"
"kōen","こうえん","park","521","Noun","公園"
"taitoru","タイトル","title","522","Noun","タイトル"
"kādo","カード","card","523","Noun","カード"
"keisatsu","けいさつ","police","524","Noun","警察"
"keishiki","けいしき","format","525","Noun","形式"
"kyōgi","きょうぎ","competition, match, contest","526","Noun","競技"
"kekkon","けっこん","marriage","527","Noun","結婚"
"sanshō","さんしょう","reference","528","Unknown","参照"
"kakawaru","かかわる","Alternative spelling of 拘る","529","Unknown","係わる"
"natsu","なつ","summer (season)","530","Noun","夏"
"Rōma","ローマ","Rome","531","Proper noun","ローマ"
"kokumin","こくみん","one who holds the citizenship of nation; a citizen","532","Noun","国民"
"chūgakkō","ちゅうがっこう","(education) middle school, junior high school","533","Noun","中学校"
"hyōka","ひょうか","appraisal","534","Noun","評価"
"Orinpikku","オリンピック","(sports) the Olympics","535","Proper noun","オリンピック"
"arata","あらた","new","536","Unknown","新た"
"un'ei","うんえい","management","537","Unknown","運営"
"erabu","えらぶ","to select; to choose","538","Verb","選ぶ"
"kanzen","かんぜん","perfect, completed","539","Adjectival noun","完全"
"renpō","れんぽう","a federal state; a federation","540","Noun","連邦"
"keiei","けいえい","management","541","Unknown","経営"
"kudari","くだり","paragraph","542","Noun","条"
"shidō","しどう","guidance; leadership","543","Noun","指導"
"kaigi","かいぎ","meeting, conference[2]","544","Noun","会議"
"tani","たに","a valley (elongated depression between hills or mountains)","545","Noun","谷"
"kesshō","けっしょう","final (match, game)","546","Unknown","決勝"
"ei","えい","English","547","Noun","英"
"saki","さき","before, previous","548","Noun","先"
"tenkai","てんかい","spreading out over a wide area, expansion, deployment","549","Noun","展開"
"kansei","かんせい","completion, accomplishment","550","Noun","完成"
"shina","しな","article, goods","551","Noun","品"
"tasū","たすう","a great many, a great number of","552","Unknown","多数"
"betsu","べつ","different, separate, another","553","Adjective","別"
"shūhen","しゅうへん","periphery, outskirts, circumference, surrounding portion, edges","554","Unknown","周辺"
"kodomo","こども","child; children","555","Noun","子供"
"taishō","たいしょう","object, target (of worship, study, etc.); subject (of taxation, etc.)","556","Noun","対象"
"jimu","じむ","business, clerical work","557","Unknown","事務"
"gaiyō","がいよう","abstract (an abrigement or summary)","558","Unknown","概要"
"teikyō","ていきょう","offer","559","Noun","提供"
"hikō","ひこう","flying; flight","560","Noun","飛行"
"susumu","すすむ","to go forward, to advance, to progress","561","Unknown","進む"
"tennō","てんのう","the Emperor of Japan, mikado, Tennou, Tenno","562","Noun","天皇"
"ta","た","rice paddy","563","Noun","田"
"musume","むすめ","(humble) a daughter","564","Noun","娘"
"man","マン","man","565","Unknown","マン"
"shiritsu","しりつ","municipal","566","Unknown","市立"
"sābisu","サービス","service","567","Unknown","サービス"
"hobo","ほぼ","approximately, about","568","Unknown","ほぼ"
"mukau","むかう","to face","569","Unknown","向かう"
"atsukau","あつかう","handle, manage, deal with","570","Unknown","扱う"
"intai","いんたい","retirement","571","Unknown","引退"
"arui wa","あるいは","perhaps","572","Unknown","あるいは"
"motomeru","もとめる","to find","573","Unknown","求める"
"dōjini","どうじに","simultaneously, at once, at the same time","574","Unknown","同時に"
"otoko","おとこ","man; male person.","575","Noun","男"
"riyū","りゆう","a reason","576","Noun","理由"
"ninki","にんき","popularity","577","Noun","人気"
"zoku","ぞく","(chemistry) a group (column in the periodic table)","578","Noun","族"
"sakusen","さくせん","(military) operation","579","Noun","作戦"
"en","えん","(mathematics) circle","580","Noun","円"
"katsu","かつ","負&#160;(ま)ける (makeru)","581","Unknown","勝つ"
"hijō","ひじょう","extraordinary, unusual","582","Unknown","非常"
"atama","あたま","(anatomy) the forehead or fontanelle part of the skull","583","Noun","頭"
"on","おん","sound","584","Noun","音"
"nozoku","のぞく","remove","585","Unknown","除く"
"dezain","デザイン","design","586","Noun","デザイン"
"gikai","ぎかい","a diet (council of leaders)","587","Unknown","議会"
"Error","","","588","",""
"ningen","にんげん","human, person, human being","589","Noun","人間"
"kōshiki","こうしき","being formal, official","590","Noun","公式"
"shika","しか","nothing but, only (with negative verb)","591","Particle","しか"
"hen","へん","compilation","592","Noun","編"
"shoki","しょき","initial period; early stage","593","Unknown","初期"
"kankyō","かんきょう","environment, surroundings","594","Unknown","環境"
"hoshi","ほし","star","595","Noun","星"
"nagareru","ながれる","flow, run, rush, stream","596","Unknown","流れる"
"kanojo","かのじょ","she; her","597","Pronoun","彼女"
"Error","","","598","",""
"jiten","じてん","point (in time)","599","Noun","時点"
"rēsu","レース","lace (fabric)","600","Noun","レース"
"tōri","とおり","a street","601","Noun","通り"
"dāsu","打","dozen","602","Noun","打"
"zentai","ぜんたい","originally, from the beginning","603","Adverb","全体"
"jiyū","じゆう","free (as in freedom)","604","Adjective","自由"
"-za","ざ","names of constellations","605","Suffix","座"
"rōdō","ろうどう","labor; labour","606","Unknown","労働"
"hyōji","ひょうじ","expression, statement, indication, display (text as shown)","607","Noun","表示"
"tatoeba","たとえば","for example, exempli gratia, for instance, such as","608","Adverb","例えば"
"wa","わ","peace, harmony","609","Noun","和"
"hakkō","はっこう","issue, publication","610","Noun","発行"
"jichi","じち","self-government","611","Unknown","自治"
"saiban","さいばん","trial","612","Unknown","裁判"
"hōhō","ほうほう","way, method, manner","613","Noun","方法"
"shien","しえん","aid, support","614","Unknown","支援"
"kyōdō","きょうどう","cooperation; collaboration","615","Noun","共同"
"monji","もんじ","a letter, a character (symbol for a sound or a word)","616","Noun","文字"
"sonohoka","そのほか","other; etc.; a miscellany","617","Noun","その他"
"kanren","かんれん","relation","618","Unknown","関連"
"atarashii","あたらしい","new","619","Adjective","新しい"
"kokudō","こくどう","highway, route (when administered by the national government)","620","Noun","国道"
"hidari","ひだり","(direction) left, the side of the left hand","621","Noun","左"
"supōtsu","スポーツ","a sport; sports","622","Noun","スポーツ"
"atai","あたい","value","623","Noun","値"
"Hiroshima","ひろしま","Hiroshima; a city in Hiroshima prefecture, on Honshu island, Japan.","624","Proper noun","広島"
"Supein","スペイン","Spain","625","Proper noun","スペイン"
"eigyō","えいぎょう","operation, sales, retail, business, trade","626","Unknown","営業"
"hana","はな","a flower; a blossom","627","Noun","花"
"gyō","ぎょう","a line of text","628","Unknown","行"
"haha","はは","(humble) mother","629","Noun","母"
"yō","よう","way, style, appearance","630","Noun","様"
"yusō","ゆそう","transportation","631","Unknown","輸送"
"no","の","area, field","632","Noun","野"
"ya","や","house","633","Noun","屋"
"Error","","","634","",""
"butai","ぶたい","(theater) stage","635","Unknown","舞台"
"izen","いぜん","(the one) before, formerly, ago","636","Unknown","以前"
"hōmen","ほうめん","direction","637","Unknown","方面"
"gappei","がっぺい","combination, fusion, merger, amalgamation, union","638","Unknown","合併"
"Ajia","アジア","Asia","639","Proper noun","アジア"
"ensō","えんそう","a performance (of music); a recital","640","Noun","演奏"
"kōgyō","こうぎょう","industry","641","Noun","工業"
"kenchiku","けんちく","architecture","642","Noun","建築"
"haru","はる","spring (season)","643","Noun","春"
"hōjin","ほうじん","A legal person. Corporations formed for business purposes are usually referred to specifically as 会社 (かいしゃ, kaisha) or companies. 法人 refers to all entities with legal personality.","644","Unknown","法人"
